datetime,portfolio_value,cash,return
2022-01-03 09:30:00-05:00,100000.0,100000.0,
2022-01-03 12:30:00-05:00,100000.0,99523.70001220703,0.0
2022-01-03 15:30:00-05:00,100000.0,99047.40002441406,0.0
2022-01-03 18:30:00-05:00,100000.0,98571.1000366211,0.0
2022-01-04 09:30:00-05:00,100008.7600402832,98571.1000366211,8.760040283206649e-05
2022-01-04 12:30:00-05:00,100008.7600402832,98091.88003540039,0.0
2022-01-04 15:30:00-05:00,100008.7600402832,97612.66003417969,0.0
2022-01-04 18:30:00-05:00,100008.7600402832,97133.44003295898,0.0
2022-01-05 09:30:00-05:00,99996.40005493164,97133.44003295898,-0.00012358902706710584
2022-01-05 12:30:00-05:00,99996.40005493164,96656.28002929688,0.0
2022-01-05 15:30:00-05:00,99996.40005493164,96179.12002563477,0.0
2022-01-05 18:30:00-05:00,99996.40005493164,95701.96002197266,0.0
2022-01-06 09:30:00-05:00,99912.9701538086,95701.96002197266,-0.0008343290466178432
2022-01-06 12:30:00-05:00,99912.9701538086,95234.07000732422,0.0
2022-01-06 15:30:00-05:00,99912.9701538086,94766.17999267578,0.0
2022-01-06 18:30:00-05:00,99912.9701538086,94298.28997802734,0.0
2022-01-07 09:30:00-05:00,99913.69012451172,94298.28997802734,7.205978383106881e-06
2022-01-07 12:30:00-05:00,99913.69012451172,93830.33996582031,0.0
2022-01-07 15:30:00-05:00,99913.69012451172,93362.38995361328,0.0
2022-01-07 18:30:00-05:00,99913.69012451172,92894.43994140625,0.0
2022-01-10 09:30:00-05:00,99834.94012451172,92894.43994140625,-0.0007881802774160063
2022-01-10 12:30:00-05:00,99834.94012451172,92431.73992919922,0.0
2022-01-10 15:30:00-05:00,99834.94012451172,91969.03991699219,0.0
2022-01-10 18:30:00-05:00,99834.94012451172,91506.33990478516,0.0
2022-01-11 09:30:00-05:00,99880.48010253906,91506.33990478516,0.0004561527053610348
2022-01-11 12:30:00-05:00,99880.48010253906,91041.10989379883,0.0
2022-01-11 15:30:00-05:00,99880.48010253906,90575.8798828125,0.0
2022-01-11 18:30:00-05:00,99880.48010253906,90110.64987182617,0.0
2022-01-12 09:30:00-05:00,100014.03979492188,90110.64987182617,0.0013371951380860558
2022-01-12 12:30:00-05:00,100014.03979492188,89639.05987548828,0.0
2022-01-12 15:30:00-05:00,100014.03979492188,89167.46987915039,0.0
2022-01-12 18:30:00-05:00,100014.03979492188,88695.8798828125,0.0
2022-01-13 09:30:00-05:00,100028.43994140625,88695.8798828125,0.00014398125017156538
2022-01-13 12:30:00-05:00,100028.43994140625,88223.6898803711,0.0
